Boy	185	70
Boy	174	81
Boy	169	70
Boy	169	60
Boy	170	60
Boy	178	78
Boy	171	65
Boy	177	73
Boy	174	60
Boy	168	52
Boy	180	65
Boy	172	68
Boy	172	82
Boy	173	66
Boy	175	64
Boy	172	53
Boy	171	70
Boy	176	60
Girl	160	46
Girl	158	59
Girl	165	49
Girl	158	46
Girl	163	51
Girl	157	58
Boy	172	64
Boy	178	70
Boy	176	55
Girl	165	50
Boy	168	54
Boy	171	65
Girl	160	47
Boy	181	64
Girl	169	51
Boy	166	55
Boy	176	64
Boy	172	60
Boy	175	70
Girl	164	65
Boy	168	52
Girl	160	49
Girl	168	54
Girl	158	44
Boy	169	77
Boy	174	73
Girl	162	57
Boy	168	52
Boy	173	55
Boy	176	65
Boy	165	61
Boy	181	76
Boy	166	65
Boy	180	72
Girl	155	45
Boy	180	70
Girl	160	43
Boy	170	62
